decall;dxcall;freq;band;S/N;datetime;country;continent;mode;decontinent;dxcontinent;de_country;skimmode
EA8BFK;G3GU;7024.7;40M;11;2019-12-03 15:44;;CW;;;;CQ
W9XG;K0HNL;14051.1;20M;23;2019-12-03 15:44;;CW;;;;CQ
K2DB;KN4ZQ;14030.2;20M;11;2019-12-03 15:44;;CW;;;;CQ
TF3Y;G3IGU;7024.6;40M;10;2019-12-03 15:44;;CW;;;;CQ
TF3Y;KV0I;14020.8;20M;9;2019-12-03 15:44;;CW;;;;CQ
SE5E;G3IGU;7024.7;40M;12;2019-12-03 15:44;;CW;;;;CQ
SE5E;IK2CLB;7003.9;40M;34;2019-12-03 15:44;;CW;;;;CQ
LZ7AA;IK2CLB;7003.9;40M;33;2019-12-03 15:44;;CW;;;;CQ
VE6JY;KV0I;14020.8;20M;19;2019-12-03 15:44;;CW;;;;CQ
KM3T2;ZS6CNC;14053.7;20M;8;2019-12-03 15:44;;CW;;;;CQ
KM3T2;KV0I;14020.8;20M;42;2019-12-03 15:44;;CW;;;;CQ
KM3T2;KN4ZQ;14030.0;20M;19;2019-12-03 15:44;;CW;;;;CQ
KO7SS2;KV0I;14020.8;20M;21;2019-12-03 15:44;;CW;;;;CQ
W8WWV;KV0I;14020.8;20M;18;2019-12-03 15:44;;CW;;;;CQ
W8WWV;OK2PKT;14016.0;20M;5;2019-12-03 15:44;;CW;;;;CQ
SV8RV;IK2CLB;7003.9;40M;8;2019-12-03 15:44;;CW;;;;CQ
VE6WZ;KV0I;14020.8;20M;20;2019-12-03 15:44;;CW;;;;CQ
ON6ZQ;IK2CLB;7003.9;40M;33;2019-12-03 15:44;;CW;;;;CQ
HB9DQM;ZS6CNC;14053.7;20M;12;2019-12-03 15:44;;CW;;;;CQ
HB9DQM;G3IGU;7024.6;40M;28;2019-12-03 15:44;;CW;;;;CQ
W3UA;KV0I;14020.8;20M;27;2019-12-03 15:44;;CW;;;;CQ
W3UA;KN4ZQ;14030.0;20M;37;2019-12-03 15:44;;CW;;;;CQ
R6YY;IK2CLB;7003.9;40M;19;2019-12-03 15:44;;CW;;;;CQ
GI4DOH;DL0AA;7022.2;40M;7;2019-12-03 15:44;;CW;;;;CQ
W3LPL;KV0I;14020.8;20M;20;2019-12-03 15:44;;CW;;;;CQ
DL2SAX;G3IGU;7024.6;40M;15;2019-12-03 15:44;;CW;;;;CQ
SM7IUN;IK2CLB;7003.9;40M;36;2019-12-03 15:44;;CW;;;;CQ
HB9DCO;G3IGU;7024.6;40M;12;2019-12-03 15:44;;CW;;;;CQ
JF2IWL1;RK0UN;7005.0;40M;13;2019-12-03 15:44;;CW;;;;CQ
HB9JCB;KN4ZQ;14030.0;20M;8;2019-12-03 15:44;;CW;;;;CQ
HB9JCB;SP5ICQ;7017.9;40M;18;2019-12-03 15:44;;CW;;;;CQ
OE6TZE;C6AGU;14019.0;20M;3;2019-12-03 15:44;;CW;;;;CQ
G0LUJ;KN4ZQ;14030.0;20M;9;2019-12-03 15:44;;CW;;;;CQ
F6IIT;IK2CLB;7003.9;40M;55;2019-12-03 15:44;;CW;;;;CQ
